Quarter,Output,Consumption,Utilization,Battery_Investment,Grid_Investment,Flexibility,Battery_Tech,Net_Foreign_Assets,Interest_Rate
0,-0.00495114113521267,-9.64689633826676e-05,-0.0126236084303519,0.000111269950597432,0.00027817487649358,0,0.00130140293096415,-0.00504353498892151,5.04353498892093e-06
1,0.000104547342671513,-9.331641844601e-05,0.000153018530472115,-1.34877158302661e-06,-3.3719289575674e-06,0.000764978311950326,0.00128562782472996,-0.00489720417123589,4.89720417123571e-06
2,0.000101965733845355,-9.02553400065065e-05,0.000149717493619139,-1.31967481489022e-06,-3.299187037226e-06,0.000748475594327558,0.00127019303157327,-0.00475512275933428,4.75512275933433e-06
3,9.94615685852018e-05,-8.72830719027551e-05,0.000146515909254186,-1.29145466404475e-06,-3.228636660111e-06,0.000732470064830348,0.00125508829866039,-0.00461716388177856,4.6171638817781e-06
4,9.70323533219242e-05,-8.43970372764735e-05,0.000143410446904579,-1.26408177426266e-06,-3.16020443565622e-06,0.000716945073584885,0.00124030371650541,-0.00448320457984213,4.48320457984222e-06
5,9.46756772521873e-05,-8.15947361266778e-05,0.000140397890769473,-1.2375278000817e-06,-3.09381950020469e-06,0.000701884543989117,0.00122582970714769,-0.00435312568318621,4.35312568318642e-06
6,9.23892095453516e-05,-7.88737429421316e-05,0.000137475135740805,-1.21176537173657e-06,-3.02941342934099e-06,0.000687272952823004,0.0012116570127414,-0.00422681168958541,4.22681168958487e-06
7,9.01706966457416e-05,-7.62317044078475e-05,0.00013463918356349,-1.18676806130751e-06,-2.9669201532679e-06,0.000673095311051863,0.00119777668453902,-0.00410415064856821,4.10415064856784e-06
8,8.80179596669528e-05,-7.36663371853075e-05,0.000131887139128928,-1.16251035005375e-06,-2.90627587513394e-06,0.000659337145295757,0.00118418007225762,-0.00398503404884242,3.98503404884162e-06
9,8.59288918747536e-05,-7.11754257629593e-05,0.000129216206897209,-1.13896759687711e-06,-2.84741899219364e-06,0.000645984479944239,0.00117085881381462,-0.00386935670938004,3.86935670937914e-06
