Quarter,Y,C,L,K_p,K_b,K_g,I_p,I_bat,I_grid,u,F,A_bat,V,P_bat,B_star,r_star,tau
0,-0.16719308973830244,0.006223315182430859,-0.10675439417243404,-0.0004697303891708357,0.00048600000000000043,8.437500000000009e-05,-0.751568622673337,0.5400000000000005,0.5400000000000005,-0.3600000000000003,0.0,0.03600000000000003,-0.1953903562120822,0.0,-2.3117219570469285e-17,2.2886047374764593e-20,0.707193089738303
1,-0.0015119350987387464,0.006257934022712125,-0.003989439629716636,-0.00047326419410122147,0.0004675990484487553,8.265695285568669e-05,-0.024443303455450694,-0.004245501723605709,-0.004245501723605709,0.0028303344824038056,0.026905154715654276,0.03571696655175965,-0.0017669243266842736,0.0,-2.3970126313045113e-17,2.3730425049914656e-20,-0.002733566624866963
2,-0.0015389347124789498,0.006293404607230051,-0.004023473891891228,-0.00047684672463113093,0.00044978173095356727,8.09658683683022e-05,-0.024662616611904116,-0.004210384490805871,-0.004210384490805871,0.0028069229938705808,0.02668260514597402,0.03543627425237259,-0.0017984774498100225,0.0,-2.483765842630426e-17,2.4589281842041215e-20,-0.002671449778326921
3,-0.0015662086989978769,0.006329734738183445,-0.00405809768854593,-0.000480479045312051,0.000432530231443452,7.930135619746437e-05,-0.02488558207471735,-0.004175608423897995,-0.004175608423897995,0.00278373894926533,0.026462217657881395,0.03515790035744606,-0.0018303512189328842,0.0,-2.5720057835517766e-17,2.5462857257162586e-20,-0.002609399724900118
4,-0.0015937622755813454,0.006366932367893965,-0.004093318128108212,-0.00048416222249576964,0.0004158272725882836,7.766303162140843e-05,-0.025112245306432017,-0.0041411687909609345,-0.0041411687909609345,0.002760779193973957,0.026243962263620246,0.03488182243804866,-0.0018625517312386712,0.0,-2.6617570142550267e-17,2.6351394441124764e-20,-0.00254740651537959
5,-0.0016216006926924745,0.006405005599857666,-0.004129142413420924,-0.00048789732465006616,0.0003996560995469774,7.605051545120027e-05,-0.025342652346705158,-0.004107060959619612,-0.004107060959619612,0.0027380406397464084,0.026027809606290888,0.03460801837407402,-0.0018950851226858772,0.0,-2.7530444677542015e-17,2.7255140230766596e-20,-0.002485460266927139
6,-0.0016497292353779788,0.006443962689836845,-0.004165577843144175,-0.0004916854226722869,0.00038400046420562566,7.446343394643833e-05,-0.025576849821555864,-0.004073280394380386,-0.004073280394380386,0.002715520262920258,0.02581373094296351,0.034336466347781994,-0.001927957569649146,0.0,-2.8458934551375276e-17,2.817434520586153e-20,-0.002423551159002408
7,-0.0016781532246664412,0.006483812046991888,-0.004202631813171831,-0.0004955275902009119,0.0003688446098908172,7.290141873241347e-05,-0.02581488495269136,-0.004039822654044102,-0.004039822654044102,0.002693215102696068,0.025601698128283733,0.034067144837512386,-0.0019611752905533664,0.0,-2.9403296708934615e-17,2.910926374184526e-20,-0.002361669429377661
8,-0.0017068780189592246,0.006524562235052925,-0.0042403118180629,-0.0004994249039252107,0.0003541732565438176,7.136410671869667e-05,-0.02605680556691459,-0.004006683389194484,-0.004006683389194484,0.00267112225946299,0.02539168359855585,0.03380003261156609,-0.0019947445474991572,0.0,-3.036379198317064e-17,3.0060154063338923e-20,-0.00229980537023526
9,-0.00173590901541466,0.006566221973531055,-0.00427862545248811,-0.0005033784438930901,0.0003399715863417194,6.985114001912552e-05,-0.02630266010561577,-0.0039738583397596694,-0.0039738583397596694,0.002649238893173113,0.025183660356289293,0.033535108722248776,-0.0020286716478805054,0.0,-3.134068514997724e-17,3.1027278298477465e-20,-0.00223794932434501
10,-0.0017652516513261495,0.006608800138968939,-0.004317580412691975,-0.0005073892938172315,0.0003262252297520876,6.836216587316074e-05,-0.026552497634349737,-0.0039413433326446244,-0.0039413433326446244,0.002627562221763083,0.024977601955194623,0.03327235250007247,-0.0020629629459952862,0.0,-3.233424498389214e-17,3.2010902534053215e-20,-0.0021760916813184754
11,-0.0017949114054947929,0.0066523057662306135,-0.004357184497970632,-0.0005114585413796142,0.0003129202520080358,6.689683656858492e-05,-0.026806367852501605,-0.003909134279432408,-0.003909134279432408,0.0026060895196216047,0.024773482485615547,0.0330117435481103,-0.0020976248446493806,0.0,-3.334474431463104e-17,3.301129687148472e-20,-0.0021142228739376152
12,-0.0018248937995971398,0.006696748049830348,-0.00439744561216576,-0.0005155872785345256,0.00030004313999105775,6.545480936551634e-05,-0.02706432110304276,-0.0038772271741521537,-0.0038772271741521537,0.0025848181161014358,0.02457127656038398,0.032753261736500165,-0.002132663796755107,0.0,-3.437246008446571e-17,3.4028735483621054e-20,-0.0020523333745550137
13,-0.0018552043995486835,0.006742136345300421,-0.004438371765174882,-0.0005197766018101496,0.00028758078950932533,6.403574642171116e-05,-0.027326408382379503,-0.0038456180911118497,-0.0038456180911118497,0.002563745394074566,0.02437095930108557,0.032496887197092705,-0.0021680863069246585,0.0,-3.541767340645655e-17,3.506349667239199e-20,-0.0019904136915631664
14,-0.0018858488168636426,0.006788480170597697,-0.004479971074478344,-0.000524027612608831,0.00027552049295953096,6.263931471912822e-05,-0.027592681350296397,-0.00381430318279391,-0.00381430318279391,0.0025428687885292733,0.024172506324723307,0.03224260031823978,-0.0022038989330592303,0.0,-3.648066962355037e-17,3.6115862927314857e-20,-0.0019284543659302677
15,-0.0019168327100116474,0.006835789207548886,-0.004522251766683294,-0.0005283414175061082,0.00026384992736071445,6.126518599173104e-05,-0.027863192339996734,-0.00378327867781174,-0.00378327867781174,0.002522185785207827,0.023975893730767524,0.03199038173971899,-0.002240108287934493,0.0,-3.7561738368554144e-17,3.71861209848686e-20,-0.001866445967800093
16,-0.0019481617857718461,0.006884073303334442,-0.0045652221790849325,-0.000532719128548607,0.00025255714274886014,5.991303665450231e-05,-0.028137994368242186,-0.0037525408789254077,-0.0037525408789254077,0.0025016939192836055,0.02378109808858061,0.03174021234779063,-0.002276721040783082,0.0,-3.866117362499608e-17,3.827456188874612e-20,-0.0018043790931535622
17,-0.0019798418005850236,0.006933342472010983,-0.004608890761245394,-0.0005371618635508879,0.0002416305509213911,5.8582547733646866e-05,-0.028417141145593877,-0.003722086161114712,-0.003722086161114712,0.0024813907740764748,0.023588096425205363,0.03149207327038298,-0.0023137439188747524,0.0,-3.977927378888496e-17,3.938148105099611e-20,-0.0017422443605296881
18,-0.0020118785619042457,0.006983606896072247,-0.004653266076590518,-0.0005416707463913389,0.00023105891452101225,5.727340479795943e-05,-0.02870068708675722,-0.0036919109697079035,-0.0036919109697079035,0.0024612739798052685,0.023396866213506107,0.03124594587240246,-0.0023511837090948035,0.0,-4.09163417313794e-17,4.0507178314065605e-20,-0.001680032407803657
19,-0.0020442779295445843,0.007034876928048496,-0.00469835680402488,-0.0005462469073072008,0.00022083133644867385,5.5985297891334254e-05,-0.028988687321032637,-0.00366201181856442,-0.00366201181856442,0.0024413412123762803,0.023207385360652057,0.031001811751164832,-0.002389047259521444,0.0,-4.207268486237854e-17,4.165195801375476e-20,-0.001617733889019836
20,-0.0020770458170324304,0.007087163092144379,-0.00474417173956535,-0.0005508914831888174,0.0002109372495957346,5.471792146639414e-05,-0.029281197702874483,-0.003632385288310015,-0.003632385288310015,0.0024215901922066763,0.023019632196932743,0.030759652731944167,-0.002427341481002661,0.0,-4.3248615195046065e-17,4.281612904309561e-20,-0.0015553394712775846
21,-0.002110188192954919,0.007140476085915266,-0.004790719797993515,-0.0005556056178731971,0.00020136640688570208,5.3470974319216915e-05,-0.02957827482256034,-0.003603028024622723,-0.003603028024622723,0.002402018683081816,0.02283358546489562,0.030519450863635986,-0.002466073348733235,0.0,-4.444444941127945e-17,4.400000491716665e-20,-0.0014928398316678044
22,-0.0021437110823099795,0.007194826781982038,-0.0048380100145273075,-0.0005603904624369755,0.00019210887161621965,5.224415952513792e-05,-0.029879976016973075,-0.003573936736568154,-0.003573936736568154,0.0023826244910454364,0.022649224308796238,0.03028118841453144,-0.002505249903832466,0.0,-4.566050892813673e-17,4.520390383885536e-20,-0.0014302256542581748
23,-0.002177620567857496,0.007250226229784405,-0.004886051546512149,-0.0005652471754888622,0.0001831550080922487,5.103718437560767e-05,-0.03018635938049788,-0.0035451081949826324,-0.0035451081949826324,0.002363405463321755,0.022466528264351717,0.030044847868199262,-0.002544878254923224,0.0,-4.6897119965233134e-17,4.6428148765580804e-20,-0.0013674876271251358
24,-0.0022119227914720904,0.007306685657372763,-0.0049348536751319064,-0.0005701769234616634,0.0001744954725416687,4.984976031608402e-05,-0.030497483776036477,-0.003516539230902781,-0.003516539230902781,0.0023443594872685205,0.02228547724878846,0.029810411919472406,-0.002584965579712859,0.0,-4.81546136131201e-17,4.767306747698889e-20,-0.0013046164394306902
25,-0.0022466239554979907,0.007364216473238679,-0.004984425807140066,-0.0005751808809039598,0.0001661212043047825,4.868160288493921e-05,-0.030813408846140963,-0.003488226734040144,-0.003488226734040144,0.0023254844893600963,0.02210605155117533,0.029577863470536397,-0.0026255191265765914,0.0,-4.943332590265955e-17,4.8938992643632956e-20,-0.001241602778542153
26,-0.0022817303241064895,0.007422830268184062,-0.00503477747661138,-0.0005802602307715293,0.00015802341728946945,4.753243165336192e-05,-0.031134195024269555,-0.003460167651299529,-0.003460167651299529,0.0023067784341996864,0.02192823182303389,0.029347185627116423,-0.0026665462161438933,0.0,-5.0733597875406406e-17,5.0226261896652336e-20,-0.0011784373271930403
27,-0.002317248224656441,0.007482538817229127,-0.005085918346714374,-0.000585416164718595,0.00015019359168397958,4.640197016623557e-05,-0.031459903546166394,-0.00343235898533975,-0.00343235898533975,0.0022882393235598335,0.02175199906921737,0.029118361694760436,-0.0027080542428884365,0.0,-5.2055775655012365e-17,5.153521789846224e-20,-0.0011151107606833092
28,-0.0023531840490582734,0.007543354081559253,-0.005137858211505024,-0.000590649883388985,0.0001426234659196022,4.528994588397395e-05,-0.031790596461367976,-0.00340479779317553,-0.00340479779317553,0.0022698651954503528,0.02157733463905046,0.0288913751752154,-0.00275005067672215,0.0,-5.340021051966449e-17,5.286620841446785e-20,-0.0010516137441172564
29,-0.0023895442551419765,0.007605288210510847,-0.005190606997741977,-0.0005959625967072844,0.00013530502887567673,4.419609012529626e-05,-0.03212633664483848,-0.003377481184819326,-0.003377481184819326,0.0022516541232128835,0.02140422021772209,0.028666209762894114,-0.002792543064593921,0.0,-5.4767258975572145e-17,5.421958638581642e-20,-0.0009879369296773484
