year,ca_to_gdp,ext_debt_to_gni,gdp_current_usd,inv_to_gdp
1985,,,14094687820.7445,
1986,,,26336616250.4397,
1987,,,36658108850.3148,
1988,,,25423812648.5941,
1989,,327.061796909385,6293304974.59403,
1990,,384.011694971632,6471740805.56984,
1991,,257.055522657511,9613369520.41885,
1992,,255.919606596775,9866990236.43587,
1993,,191.06388223495,13180953598.1716,
1994,,156.576320597098,16286433533.3228,
1995,,123.008667409007,20736164458.9505,27.1442426996138
1996,-8.19224337661192,107.644463466019,24657470574.7501,28.1028981458336
1997,-5.69221074168667,82.6494265485348,26843700441.5482,28.2995826198971
1998,-3.94713600744563,84.6549859647473,27209602050.0452,29.0498785375758
1999,4.10338164918913,82.8326094688533,28683659006.7752,27.6297563146656
2000,3.54799694298148,41.792625574896,31172518403.3162,29.6099138223826
2001,2.08657136826562,39.1741871054437,32685198808.5549,31.1727734549497
2002,-1.72255927072095,38.6816313185181,35064105500.8344,33.2205344910613
2003,-4.88211706972335,40.0605772555549,39552513231.9169,35.444857957463
2004,-2.10663701040253,39.5525077207593,45427854693.2554,35.46533166878
2005,-0.971989162897,32.8651603081175,57633255738.1992,33.7574028912441
2006,-0.246704373698266,28.8741151356014,66371664817.0436,34.5366510764767
2007,-8.98165936412439,30.7473585616458,77414425532.2452,39.5662708970146
2008,-10.9179529896098,27.5497882153862,99130304099.1274,36.4931217965814
2009,-6.23310024019381,32.3054945885018,106014659565.214,37.1625554335215
2010,-2.90486815229253,31.5643856988691,147201173196.979,37.0990761715168
2011,0.136736251193688,32.3790967192749,172595049183.925,32.3711434429224
2012,4.82078231422777,32.875948016499,195590661129.249,30.5592897696566
2013,3.62409015316054,32.1019722734645,213708811665.34,30.2129034609593
2014,4.00897026449707,33.2733273586748,233451469642.519,30.2890267860991
2015,-0.853052854546214,36.0276512949194,239258328381.741,32.1089158178217
2016,0.243099852637275,37.2434368821309,257096001177.982,31.7245390951042
2017,-0.586095207209378,41.5701252327449,281353605986.903,32.305300920099
2018,1.90236367538642,38.2695640665703,310106478394.659,32.019502902433
2019,3.91824395534242,38.5732191379908,334365270496.667,31.9799606565797
2020,4.34486906553373,39.0234679461042,346615738537.796,31.915688393806
2021,-1.26284279203588,40.2192163533687,366474752771.009,32.8956023366901
2022,0.339101746979362,37.2580281492659,413445230668.578,32.3404994444961
2023,5.94503707253957,34.4790753177648,433857681378.291,31.6465959765628
2024,5.88742504866573,28.849298110528,476388230307.175,30.5632304440275
